koi_disposition,koi_prad,koi_dicco_msky,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_fpflag_co,koi_fittype,koi_dikco_msky
1,2.33,0.066,0,0,0,0,4,0.33
1,2.18,0.01,0,0,0,0,4,0.29
1,1.42,0.63,0,0,0,0,4,0.8
0,63.66,2.914,0,1,1,1,4,2.827
1,3.16,0.12,0,0,0,0,4,0.48
1,2.54,0.13,0,0,0,0,4,0.2
1,3.2,0.129,0,0,0,0,4,0.075
1,1.78,0.1,0,0,0,0,4,0.06
1,2.66,0.18,0,0,0,0,4,0.1
1,4.53,0.34,0,0,0,0,4,0.59
0,21.58,0.01,0,1,0,0,4,0.063
2,12.04,1.56,0,0,0,0,4,0.151
1,4.16,0.007,0,0,0,0,4,0.253
1,3.13,0.07,0,0,0,0,4,0.262
1,2.92,0.07,0,0,0,0,4,0.31
1,1.74,0.1,0,0,0,0,4,0.16
1,1.72,0.17,0,0,0,0,4,0.3
1,1.29,0.25,0,0,0,0,4,0.45
1,1.3,0.28,0,0,0,0,4,0.3
1,2.45,0.18,0,0,0,0,4,0.15
0,4.14,0.177,0,1,0,0,4,0.209
1,10.51,0.071,0,0,0,0,4,0.127
1,8.95,0.064,0,0,0,0,4,0.175
1,3.52,0.105,0,0,0,0,4,0.1
1,13.16,0.06,0,0,0,0,4,0.19
2,4.87,0.02,0,0,0,0,4,0.216
2,4.78,0.096,0,0,0,0,4,0.178
1,6.96,0.349,0,0,0,0,4,0.144
1,1.85,0.05,0,0,0,0,4,0.13
1,1.9,0.38,0,0,0,0,4,0.43
1,2.57,0.03,0,0,0,0,4,0.13
0,10.95,0.035,0,1,0,0,4,0.161
1,4.14,0.096,0,0,0,0,4,0.091
1,2.96,0.206,0,0,0,0,4,0.182
1,13.12,0.014,0,0,0,0,4,0.078
1,2.23,0.13,0,0,0,0,4,0.08
1,1.66,0.05,0,0,0,0,4,0.12
1,2.48,0.09,0,0,0,0,4,0.11
1,2.25,0.17,0,0,0,0,4,0.19
1,1.16,0.18,0,0,0,0,4,0.53
1,0.91,0.14,0,0,0,0,4,0.75
1,1.11,0.31,0,0,0,0,4,0.65
2,4.56,0.04,0,0,0,0,4,0.01
1,2.85,0.1,0,0,0,0,4,0.18
1,3.43,0.37,0,0,0,0,4,0.29
1,2.34,0.022,0,0,0,0,4,0.155
1,1.18,0.23,0,0,0,0,4,0.19
1,10.55,0.018,0,0,0,0,4,0.011
2,1.87,1.77,0,0,0,0,4,0.23
1,1.85,0.17,0,0,0,0,4,0.19
1,1.62,0.24,0,0,0,0,4,0.29
1,1.75,0.39,0,0,0,0,4,0.38
0,4.33,1.494,0,0,0,1,4,1.472
1,2.47,0.23,0,0,0,0,4,0.34
1,2.43,0.03,0,0,0,0,4,0.37
1,1.08,0.93,0,0,0,0,4,1.21
1,2.72,0.18,0,0,0,0,4,0.07
1,3.14,0.2,0,0,0,0,4,0.33
1,1.36,0.46,0,0,0,0,4,0.35
1,3.09,0.16,0,0,0,0,4,0.09
1,2.64,0.07,0,0,0,0,4,0.12
1,10.6,0.046,0,0,0,0,4,0.053
0,540.37,7.168,0,0,1,1,4,7.884
1,2.68,0.05,0,0,0,0,4,0.309
2,2.42,0.05,0,0,0,0,4,0.26
1,9.66,0.009,0,0,0,0,4,0.065
0,24.54,7.29,0,1,1,1,4,7.17
1,13.61,1.76,0,0,0,0,4,0.095
0,3.57,6.021,0,0,1,1,4,7.34
1,13.26,0.014,0,1,0,0,4,0.349
0,27.22,0.022,0,1,0,0,4,0.084
1,3.94,0.044,0,0,0,0,4,0.067
0,4.37,1.33,0,1,0,0,4,1.59
1,10.98,0.016,0,0,0,0,4,0.06
0,29.66,0.008,0,1,0,0,4,0.074
1,2.6,0.26,0,0,0,0,4,0.25
1,2.53,0.12,0,0,0,0,4,0.18
1,2.95,0.15,0,0,0,0,4,0.16
1,1.7,0.12,0,0,0,0,4,0.35
1,2.94,0.01,0,0,0,0,4,0.1
0,20.7,0.042,0,1,0,0,4,0.085
1,3.13,0.51,0,0,0,0,4,0.054
2,4.06,0.09,0,0,0,0,4,0.14
0,26.56,0.004,0,1,0,0,4,0.119
1,3.82,0.03,0,0,0,0,4,0.073
0,44.04,0.95,0,1,0,1,4,1.073
1,2.11,0.31,0,0,0,0,4,0.35
1,2.06,0.51,0,0,0,0,4,0.54
1,1.57,0.4,0,0,0,0,4,0.41
1,2.3,0.69,0,0,0,0,4,0.67
1,3.18,0.067,0,0,0,0,4,0.118
1,10.43,0.002,0,0,0,0,4,0.153
0,23.88,5.5,0,1,0,1,4,5.7
1,4.09,0.056,0,0,0,0,4,0.176
1,2.58,0.2,0,0,0,0,4,0.32
1,3.05,0.36,0,0,0,0,4,0.32
1,5.5,0.01,0,0,0,0,4,0.036
1,5.22,0.04,0,0,0,0,4,0.06
1,4,0.09,0,0,0,0,4,0.03
2,1.94,2.8,0,0,0,0,4,2.8
1,2.13,0.085,0,0,0,0,4,0.848
1,1.24,0.055,0,0,0,0,4,0.966
1,10.62,0.104,0,0,0,0,4,0.154
1,2.74,0.17,0,0,0,0,4,0.12
1,3.12,0.05,0,0,0,0,4,0.39
1,1.45,0.2,0,0,0,0,4,0.38
1,1.78,0.84,0,0,0,0,4,1.2
0,39,0.06,0,1,0,0,4,0.07
1,3.43,0.26,0,0,0,0,4,0.2
1,43.17,0.57,0,0,0,0,4,0.46
1,2.07,0.46,0,0,0,0,4,0.35
2,7.12,0.13,0,0,0,0,4,0.27
1,2.32,0.1,0,0,0,0,4,0.29
2,1.32,0.07,0,0,0,0,4,0.1
2,1.84,0.52,0,0,0,0,4,0.62
0,35.74,1.77,1,0,1,0,1,1.8
0,59.56,0.338,0,1,0,0,4,0.317
0,23.6,0.017,0,1,0,0,4,0.138
0,5.06,1.66,1,0,0,0,4,1.64
0,13.66,0.035,0,1,0,0,4,0.038
2,34.39,21.9,0,0,0,0,4,38.8
2,133.56,8.4,0,0,0,0,0,12.1
0,23.61,5.93,0,1,0,1,4,5.969
0,403.59,3.59,0,1,0,0,4,3.48
1,7.67,0.1,0,0,0,0,4,0.14
0,1.25,7.655,0,1,0,1,4,7.798
0,7.47,5.05,0,0,0,1,4,5.09
1,2.47,0.2,0,0,0,0,4,0.2
1,1.62,0.4,0,0,0,0,4,0.42
0,17.12,3.61,1,0,0,1,4,3.55
1,13.92,0.25,0,0,0,0,4,0.17
0,3.22,4.36,1,0,1,1,4,4.37
0,1.19,9.17,0,0,1,1,4,9.18
1,1.78,1.13,0,0,0,0,4,1.02
2,1.55,0.58,0,0,0,0,4,0.51
1,8.78,0.35,0,0,0,0,4,0.094
2,8.25,5.2,0,0,0,0,4,5.4
0,7.48,2.7,0,1,1,1,4,4.86
2,2.78,3.9,0,0,0,0,4,5.6
2,2.52,2.57,0,0,0,0,4,1.7
1,1.69,7.5,0,0,0,0,4,5.1
0,78.54,2.65,0,1,0,0,4,2.35
0,14.71,4.279,0,0,0,1,4,4.44
0,1.45,6.871,0,1,1,1,4,6.836
1,1.41,0.325,0,0,0,0,4,0.184
1,1.36,0.21,0,0,0,0,4,0.19
2,2.01,0.18,0,0,0,0,4,0.23
0,67.37,1.84,0,1,1,1,4,9.132
1,5.88,0.77,0,0,0,0,4,0.8
1,7.62,0.82,0,0,0,0,4,0.82
1,1.59,0.3,0,0,0,0,4,0.37
0,1.81,9.25,0,0,1,1,4,9.21
2,5.24,0.24,0,0,0,0,4,0.15
0,25.89,0.23,0,1,0,0,4,0.045
0,16.91,0.023,0,1,0,0,4,0.236
0,56.44,3.33,0,1,1,1,4,4.03
0,11.36,0.432,0,1,0,0,4,0.224
0,33.65,4.82,1,0,1,0,4,5.18
0,430.99,3.26,0,1,0,0,4,2.87
0,71.39,0.94,1,0,0,0,4,1.13
0,2436.69,0.57,0,1,0,0,4,0.24
0,68.02,1.73,0,1,0,0,4,1.79
2,12.1,0.1,0,0,0,0,4,0.16
1,2.54,0.43,0,0,0,0,4,0.24
1,1.67,0.77,0,0,0,0,4,0.89
1,2.39,0.1,0,0,0,0,4,0.21
1,2.39,0.57,0,0,0,0,4,0.41
1,1.54,0.3,0,0,0,0,4,0.38
2,2.33,0.77,0,0,0,0,4,0.21
1,2.48,0.18,0,0,0,0,4,0.29
1,2.73,0.25,0,0,0,0,4,0.35
0,25.2,3.19,0,0,1,1,4,3.2
1,2.03,0.6,0,0,0,0,4,0.58
0,8.96,4.27,0,1,0,1,4,4.476
0,5.09,9.584,0,1,1,1,4,9.802
0,19,7.183,0,1,1,1,4,6.831
0,97.27,1.659,0,1,0,1,4,1.646
0,34.14,2.61,0,1,0,1,4,2.796
1,7.14,0.053,0,0,0,0,4,0.105
2,2.29,0.68,0,0,0,0,4,0.8
0,1.42,5.387,0,0,0,1,4,5.408
1,1.92,0.18,0,0,0,0,4,0.05
1,1.75,0.37,0,0,0,0,4,0.45
1,1.67,0.29,0,0,0,0,4,0.33
0,38.6,7.196,0,1,1,1,4,7.391
0,40.15,5.193,0,1,0,1,4,5.206
1,1.68,0.12,0,0,0,0,4,0.04
